[2025-07-18 21:49:22,603] 16 root - INFO - Initiate the data ingestion
[2025-07-18 21:49:25,831] 65 root - INFO - Performed train test split on the dataframe
[2025-07-18 21:49:25,832] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-18 21:49:25,833] 71 root - INFO - Exporting train and test file path
[2025-07-18 21:49:25,990] 80 root - INFO - Exported train and test file path
[2025-07-18 21:49:25,991] 18 root - INFO - Data initiation Completed
[2025-07-18 21:49:26,002] 23 root - INFO - Initiate Data Validation
[2025-07-18 21:49:26,108] 31 root - INFO - Required number of columns:2
[2025-07-18 21:49:26,109] 32 root - INFO - Data Frame has columns: 31
[2025-07-18 21:49:26,109] 31 root - INFO - Required number of columns:2
[2025-07-18 21:49:26,109] 32 root - INFO - Data Frame has columns: 31
[2025-07-18 21:49:26,472] 25 root - INFO - Data Validation Completed
[2025-07-18 21:49:26,472] 28 root - INFO - data transformation started
[2025-07-18 21:49:26,472] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class 
[2025-07-18 21:49:26,472] 64 root - INFO - Starting data transformation
[2025-07-18 21:49:26,531] 47 root - INFO - Entered get_data_transformer_object method of Transformation Class
[2025-07-18 21:49:26,531] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-18 21:49:26,562] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-18 21:49:26,566] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-18 21:49:26,569] 33 root - INFO - data transformation completed
[2025-07-18 21:49:26,570] 35 root - INFO - Model Trainer Started
[2025-07-18 21:49:56,810] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-18 21:49:56,879] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-18 21:49:56,879] 109 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_18_2025_21_49_17\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910804784107035, precision_score=0.9895759538508249, recall_score=0.9925895848137245), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9874239350912779, precision_score=0.9866234292663154, recall_score=0.9882257409663012))
[2025-07-18 21:49:56,883] 39 root - INFO - Model Trainer Artifact Created
