[2025-07-18 21:27:16,126] 16 root - INFO - Initiate the data ingestion
[2025-07-18 21:27:19,676] 65 root - INFO - Performed train test split on the dataframe
[2025-07-18 21:27:19,676] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-18 21:27:19,677] 71 root - INFO - Exporting train and test file path
[2025-07-18 21:27:19,833] 80 root - INFO - Exported train and test file path
[2025-07-18 21:27:19,834] 18 root - INFO - Data initiation Completed
[2025-07-18 21:27:19,844] 23 root - INFO - Initiate Data Validation
[2025-07-18 21:27:19,938] 31 root - INFO - Required number of columns:2
[2025-07-18 21:27:19,944] 32 root - INFO - Data Frame has columns: 31
[2025-07-18 21:27:19,944] 31 root - INFO - Required number of columns:2
[2025-07-18 21:27:19,944] 32 root - INFO - Data Frame has columns: 31
[2025-07-18 21:27:20,246] 25 root - INFO - Data Validation Completed
[2025-07-18 21:27:20,246] 28 root - INFO - data transformation started
[2025-07-18 21:27:20,246] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class 
[2025-07-18 21:27:20,246] 64 root - INFO - Starting data transformation
[2025-07-18 21:27:20,299] 47 root - INFO - Entered get_data_transformer_object method of Transformation Class
[2025-07-18 21:27:20,299] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-18 21:27:20,328] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-18 21:27:20,333] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-18 21:27:20,335] 33 root - INFO - data transformation completed
[2025-07-18 21:27:20,336] 35 root - INFO - Model Trainer Started
[2025-07-18 21:27:32,810] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-18 21:27:32,827] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-18 21:27:32,827] 90 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_18_2025_21_27_14\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991236022967664, precision_score=0.9888453421766656, recall_score=0.9936382914268403), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.985495234148363, precision_score=0.9846790890269151, recall_score=0.9863127333056823))
[2025-07-18 21:27:32,829] 39 root - INFO - Model Trainer Artifact Created
